101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
竹南鎮,營盤里,1168,1009255,864,631,359,1118,814.66,94.28
竹南鎮,龍鳳里,808,594392,736,551,372,907,658.27,89.48
竹南鎮,山佳里,1573,1268857,807,628,370,1046,657.35,81.49
竹南鎮,中港里,375,311232,830,576,344,1006,1024.37,123.42
竹南鎮,聖福里,1330,1214930,913,656,400,1175,798.82,87.45
竹南鎮,竹興里,955,612554,641,496,312,781,552.68,86.17
竹南鎮,中華里,979,781744,799,604,368,1010,679.7,85.12
竹南鎮,中英里,513,341015,665,505,334,792,567.18,85.32
竹南鎮,中美里,660,454915,689,549,353,862,528.01,76.61
竹南鎮,開元里,255,183154,718,566,343,888,582.46,81.09
竹南鎮,海口里,1171,1008804,861,647,388,1104,766.11,88.93
竹南鎮,港墘里,659,512539,778,618,374,967,629.22,80.9
竹南鎮,公館里,421,279735,664,502,332,822,663.73,99.89
竹南鎮,大埔里,1125,785343,698,520,337,856,889.28,127.39
竹南鎮,崎頂里,1239,1017258,821,606,366,991,1391.27,169.45
竹南鎮,頂埔里,717,493526,688,525,335,851,666.25,96.79
竹南鎮,公義里,338,248136,734,499,319,774,1226.81,167.11
竹南鎮,照南里,1218,1297456,1065,700,396,1379,1148.35,107.8
竹南鎮,佳興里,1073,950285,886,606,373,1111,861.83,97.31
竹南鎮,天文里,753,617468,820,675,405,1073,621.63,75.81
竹南鎮,龍山里,695,583559,840,617,370,1069,761.73,90.72
竹南鎮,其　他,1,504,504,504,504,504,0,0
竹南鎮,合　計,23059,19261769,835,604,365,1043,969.34,116.04
頭份鎮,頭份里,1143,890501,779,594,369,978,717.19,92.05
頭份鎮,忠孝里,1093,958826,877,618,388,1084,1259.58,143.58
頭份鎮,仁愛里,531,349105,657,525,292,847,563.91,85.77
頭份鎮,信義里,265,217140,819,559,341,1067,886.93,108.24
頭份鎮,和平里,353,300026,850,587,320,980,983.5,115.72
頭份鎮,民族里,683,519665,761,600,366,943,649.5,85.36
頭份鎮,土牛里,257,164232,639,500,326,777,528.09,82.64
頭份鎮,上興里,488,337201,691,562,373,835,544.54,78.81
頭份鎮,下興里,820,609486,743,559,354,917,656.08,88.27
頭份鎮,東庄里,1087,939231,864,630,379,1114,799.61,92.54
頭份鎮,田寮里,1381,1111107,805,632,391,1053,686.94,85.38
頭份鎮,蟠桃里,1984,1911826,964,762,436,1285,774.5,80.37
頭份鎮,山下里,1346,1270373,944,717,413,1220,848.16,89.87
頭份鎮,後庄里,1373,1380231,1005,753,428,1337,888.06,88.34
頭份鎮,新華里,1194,810152,679,539,351,892,522.84,77.06
頭份鎮,斗煥里,1023,724058,708,559,380,899,539.64,76.24
頭份鎮,興隆里,1375,1242813,904,626,377,1114,929.35,102.82
頭份鎮,上埔里,865,606752,701,551,353,877,563.82,80.38
頭份鎮,珊湖里,529,348173,658,514,323,802,565.25,85.88
頭份鎮,流東里,674,443446,658,513,359,819,519.43,78.95
頭份鎮,尖山里,482,320006,664,518,336,818,626.76,94.4
頭份鎮,廣興里,271,199600,737,585,376,925,614.9,83.49
頭份鎮,尖下里,894,604840,677,538,340,873,537.08,79.39
頭份鎮,濫坑里,726,463101,638,517,339,851,434.38,68.1
頭份鎮,蘆竹里,455,275245,605,478,311,730,467.7,77.31
頭份鎮,民權里,686,565277,824,553,340,963,1188.9,144.28
頭份鎮,民生里,803,562631,701,570,354,871,565.13,80.66
頭份鎮,建國里,1272,1152169,906,642,404,1145,859.12,94.85
頭份鎮,成功里,1306,1072706,821,625,373,1073,730.04,88.88
頭份鎮,自強里,695,585881,843,585,362,1006,1454.85,172.58
頭份鎮,合興里,895,876854,980,790,461,1283,842.42,85.99
頭份鎮,文化里,1122,1110172,989,735,409,1293,878.93,88.83
頭份鎮,其　他,0,0,0,0,0,0,0,0
頭份鎮,合　計,28071,22922828,817,604,374,1033,799.06,97.85
造橋鄉,造橋村,696,551828,793,569,362,944,1607.37,202.73
造橋鄉,平興村,138,105822,767,624,401,930,567.04,73.95
造橋鄉,豐湖村,344,248947,724,570,352,913,645.73,89.23
造橋鄉,錦水村,178,118871,668,580,390,886,392.74,58.81
造橋鄉,大西村,1239,831992,672,558,352,902,463.06,68.96
造橋鄉,大龍村,161,101505,630,514,360,814,425.31,67.46
